DATE,TMIN
3/31/2016,22
4/1/2016,24
4/2/2016,29
4/3/2016,36
4/4/2016,40
4/5/2016,36
4/6/2016,32
4/7/2016,42
4/8/2016,38
4/9/2016,36
4/10/2016,37
4/11/2016,31
4/12/2016,36
4/13/2016,37
4/14/2016,43
4/15/2016,32
4/16/2016,29
4/17/2016,28
4/18/2016,27
4/19/2016,25
4/20/2016,34
4/21/2016,38
4/22/2016,47
4/23/2016,39
4/24/2016,35
4/25/2016,29
4/26/2016,27
4/27/2016,29
4/28/2016,33
4/29/2016,30
4/30/2016,29
5/1/2016,31
5/2/2016,30
5/3/2016,34
5/4/2016,44
5/5/2016,48
5/6/2016,46
5/7/2016,37
5/8/2016,32
5/9/2016,33
5/10/2016,42
5/11/2016,37
5/12/2016,38
5/13/2016,45
5/14/2016,52
5/15/2016,44
5/16/2016,38
5/17/2016,37
5/18/2016,37
5/19/2016,36
5/20/2016,45
5/21/2016,47
5/22/2016,45
5/23/2016,41
5/24/2016,44
5/25/2016,42
5/26/2016,42
5/27/2016,40
5/28/2016,40
5/29/2016,50
5/30/2016,50
5/31/2016,47
6/1/2016,49
6/2/2016,49
6/3/2016,55
6/4/2016,57
6/5/2016,57
6/6/2016,57
6/7/2016,57
6/8/2016,56
6/9/2016,57
6/10/2016,58
6/11/2016,58
6/12/2016,53
6/13/2016,49
6/14/2016,47
6/15/2016,54
6/16/2016,50
6/17/2016,53
6/18/2016,57
6/19/2016,57
6/20/2016,62
6/21/2016,61
6/22/2016,62
6/23/2016,61
6/24/2016,59
6/25/2016,59
6/26/2016,59
6/27/2016,58
6/28/2016,57
6/29/2016,55
6/30/2016,54
7/1/2016,51
7/2/2016,50
7/3/2016,53
7/4/2016,52
7/5/2016,58
7/6/2016,58
7/7/2016,58
7/8/2016,57
7/9/2016,59
7/10/2016,60
7/11/2016,58
7/12/2016,56
7/13/2016,58
7/14/2016,60
7/15/2016,58
7/16/2016,63
7/17/2016,59
7/18/2016,56
7/19/2016,56
7/20/2016,55
7/21/2016,56
7/22/2016,58
7/23/2016,59
7/24/2016,61
7/25/2016,57
7/26/2016,59
7/27/2016,58
7/28/2016,63
7/29/2016,61
7/30/2016,58
7/31/2016,57
8/1/2016,58
8/2/2016,56
8/3/2016,55
8/4/2016,54
8/5/2016,53
8/6/2016,52
8/7/2016,54
8/8/2016,55
8/9/2016,57
8/10/2016,55
8/11/2016,54
8/12/2016,57
8/13/2016,55
8/14/2016,52
8/15/2016,54
8/16/2016,57
8/17/2016,53
8/18/2016,49
8/19/2016,50
8/20/2016,52
8/21/2016,51
8/22/2016,50
8/23/2016,47
8/24/2016,47
8/25/2016,48
8/26/2016,46
8/27/2016,47
8/28/2016,46
8/29/2016,50
8/30/2016,51
8/31/2016,52
9/1/2016,53
9/2/2016,52
9/3/2016,54
9/4/2016,52
9/5/2016,53
9/6/2016,52
9/7/2016,51
9/8/2016,53
9/9/2016,57
9/10/2016,53
9/11/2016,53
9/12/2016,46
9/13/2016,45
9/14/2016,48
